source_id,source_type,url,observed_date,title,category,materiality_hint,field_effect_hint,expected_action,confidence,hallucination_kinds,trace_region_count,evidence_quote,snapshot_path
status-blockchain-com,status-page,https://status.blockchain.com/,2026-05-21,Blockchain.com Status — all systems operational,incident,none,availability,monitor,0.200,"{""low_coverage_region"":1}",0,All systems operational,snapshots/status-blockchain-com.html
status-blockchain-com,status-page,https://status.blockchain.com/,2026-05-21,System status component grid present,product-update,none,availability,monitor,0.750,"{""low_coverage_region"":1}",0,System status,snapshots/status-blockchain-com.html
status-blockchain-com,status-page,https://status.blockchain.com/,2026-05-21,No incidents reported on status page,incident,none,availability,no-op,0.200,"{""low_coverage_region"":1}",0,No incidents reported,snapshots/status-blockchain-com.html
blog-index,blog-index,https://www.blockchain.com/blog,2026-05-21,Blockchain blog landing reachable (SPA shell),marketing,none,none,ingest-as-fixture-only,0.750,"{""low_coverage_region"":1}",0,Blockchain | Blog,snapshots/blog-index.html
blog-ipo-announce,blog-post,https://www.blockchain.com/blog/posts/blockchaincom-announces-confidential-submission-of-draft-registration-statement-for-proposed-initial-public-offering-of-class-a-ordinary-shares,2026-05-21,Proposed IPO post URL returns SPA shell only,corporate-announcement,high,regulatory,needs-rendered-fetch,0.610,"{""low_coverage_region"":1}",0,Blockchain | Blog,snapshots/blog-ipo-announce.html
legal-privacy,legal,https://www.blockchain.com/legal/privacy,2026-03-09,Blockchain.com Privacy Policy updated,policy-update,medium,legal-terms,archive,0.791,{},10,"Last Updated: March 9, 2026",snapshots/legal-privacy.html
legal-terms,legal,https://www.blockchain.com/legal/terms,2026-04-29,Blockchain.com User Agreement updated,policy-update,medium,legal-terms,archive,0.791,{},4,"Last Updated: April 29, 2026",snapshots/legal-terms.html
legal-crypto-backed-loans,legal,https://www.blockchain.com/legal/crypto-backed-loans,2026-05-13,Crypto-Backed Loans Terms updated,policy-update,high,legal-terms,flag-for-review,0.765,{},2,"Last Updated: May 13, 2026",snapshots/legal-crypto-backed-loans.html
prnewswire-ipo,press-release,https://www.prnewswire.com/news-releases/blockchaincom-announces-confidential-submission-of-draft-registration-statement-for-proposed-initial-public-offering-of-class-a-ordinary-shares-302461738.html,2026-05-21,PRNewswire IPO release URL returned 404,not-found,none,none,flag-for-review,0.550,"{""low_coverage_region"":1}",0,404,snapshots/prnewswire-ipo.html
blockchain-com-root,marketing,https://www.blockchain.com/,2026-05-21,Blockchain.com marketing root,marketing,none,none,ingest-as-fixture-only,0.750,"{""low_coverage_region"":1}",0,Invest like an icon,snapshots/blockchain-com-root.html
blockchain-com-root,marketing,https://www.blockchain.com/,2026-05-21,Blockchain.com marketing tagline,marketing,none,none,ingest-as-fixture-only,0.200,"{""low_coverage_region"":1}",0,Here since the beginning of crypto,snapshots/blockchain-com-root.html
